"item","state","urbanRural","centre","date","volatilityRank","position","column","position1","position2"
"Cement Dangote","Abia","Rural","Abala",2012-12-01,1,5,0,5,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2010-06-01,3,4,0,4,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2010-12-01,2,4,0,4,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2011-06-01,1,4,0,4,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2011-12-01,1,6,0,6,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2012-06-01,1,6,0,6,0
"Cement Dangote","Abia","Rural","Ahia Eke Akoli Akanu",2012-12-01,1,6,0,6,0
"Cement Dangote","Abia","Rural","Ahia Eke",2010-06-01,2,3,0,3,0
"Cement Dangote","Abia","Rural","Ahia Eke",2010-12-01,2,5,0,5,0
"Cement Dangote","Abia","Rural","Ahia Eke",2011-06-01,1,5,0,5,0
"Cement Dangote","Abia","Rural","Ahia Eke",2011-12-01,1,7,0,7,0
"Cement Dangote","Abia","Rural","Ahia Eke",2012-06-01,1,7,0,7,0
"Cement Dangote","Abia","Rural","Ahia Eke",2012-12-01,1,7,0,7,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2010-06-01,3,5,0,5,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2010-12-01,2,6,0,6,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2011-06-01,1,6,0,6,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2011-12-01,1,8,0,8,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2012-06-01,1,8,0,8,0
"Cement Dangote","Abia","Rural","Amachi Nsulu",2012-12-01,1,8,0,8,0
"Cement Dangote","Abia","Rural","Amaelu",2009-12-01,1,1,0,1,0
"Cement Dangote","Abia","Rural","Amaelu",2010-06-01,2,4,1,0,1
"Cement Dangote","Abia","Rural","Amaelu",2010-12-01,3,3,1,0,1
"Cement Dangote","Abia","Rural","Amaelu",2011-06-01,1,7,0,7,0
"Cement Dangote","Abia","Rural","Amaelu",2011-12-01,1,9,0,9,0
"Cement Dangote","Abia","Rural","Amaelu",2012-06-01,1,9,0,9,0
"Cement Dangote","Abia","Rural","Amaelu",2012-12-01,1,9,0,9,0
"Cement Dangote","Abia","Rural","Ariam",2010-06-01,3,6,0,6,0
"Cement Dangote","Abia","Rural","Ariam",2010-12-01,2,7,0,7,0
"Cement Dangote","Abia","Rural","Ariam",2011-06-01,1,8,0,8,0
"Cement Dangote","Abia","Rural","Ariam",2011-12-01,1,10,0,10,0
"Cement Dangote","Abia","Rural","Ariam",2012-06-01,1,10,0,10,0
"Cement Dangote","Abia","Rural","Ariam",2012-12-01,1,10,0,10,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2010-06-01,3,7,0,7,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2010-12-01,2,8,0,8,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2011-06-01,1,9,0,9,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2011-12-01,1,11,0,11,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2012-06-01,1,11,0,11,0
"Cement Dangote","Abia","Rural","Chief Issac Imo",2012-12-01,1,11,0,11,0
"Cement Dangote","Abia","Rural","Eziama",2010-06-01,3,8,0,8,0
"Cement Dangote","Abia","Rural","Eziama",2010-12-01,2,9,0,9,0
"Cement Dangote","Abia","Rural","Eziama",2011-06-01,1,10,0,10,0
"Cement Dangote","Abia","Rural","Eziama",2011-12-01,1,12,0,12,0
"Cement Dangote","Abia","Rural","Eziama",2012-06-01,1,12,0,12,0
"Cement Dangote","Abia","Rural","Eziama",2012-12-01,1,12,0,12,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2010-06-01,3,9,0,9,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2010-12-01,2,10,0,10,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2011-06-01,1,11,0,11,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2011-12-01,1,13,0,13,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2012-06-01,1,13,0,13,0
"Cement Dangote","Abia","Rural","Faith Tab.Congregation",2012-12-01,1,13,0,13,0
"Cement Dangote","Abia","Rural","Holy Tri.Church",2010-06-01,3,10,0,10,0
"Cement Dangote","Abia","Rural","Holy Tri.Church",2010-12-01,2,11,0,11,0
"Cement Dangote","Abia","Rural","Holy Tri.Church",2011-06-01,1,12,1,0,1
"Cement Dangote","Abia","Rural","Holy Tri.Church",2011-12-01,1,14,1,0,1
"Cement Dangote","Abia","Rural","Holy Tri.Church",2012-06-01,1,14,1,0,1
"Cement Dangote","Abia","Rural","Holy Tri.Church",2012-12-01,1,14,1,0,1
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2010-06-01,3,11,1,0,1
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2010-12-01,2,12,1,0,1
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2011-06-01,1,13,1,0,2
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2011-12-01,1,15,1,0,2
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2012-06-01,1,15,1,0,2
"Cement Dangote","Abia","Rural","Mr.J.Iroegbulam",2012-12-01,1,15,1,0,2
"Cement Dangote","Abia","Rural","NDD Primary School",2010-06-01,3,12,1,0,2
"Cement Dangote","Abia","Rural","NDD Primary School",2010-12-01,2,13,1,0,2
"Cement Dangote","Abia","Rural","NDD Primary School",2011-06-01,1,14,1,0,3
"Cement Dangote","Abia","Rural","NDD Primary School",2011-12-01,1,16,1,0,3
"Cement Dangote","Abia","Rural","NDD Primary School",2012-06-01,1,16,1,0,3
"Cement Dangote","Abia","Rural","NDD Primary School",2012-12-01,1,16,1,0,3
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2009-12-01,5,2,1,0,1
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2010-06-01,3,13,1,0,3
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2010-12-01,2,14,1,0,3
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2011-06-01,1,15,1,0,4
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2011-12-01,1,17,1,0,4
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2012-06-01,1,17,1,0,4
"Cement Dangote","Abia","Rural","Ndi Mba Hall",2012-12-01,1,17,1,0,4
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2010-06-01,3,14,1,0,4
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2010-12-01,2,15,1,0,4
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2011-06-01,1,16,1,0,5
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2011-12-01,1,18,1,0,5
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2012-06-01,1,18,1,0,5
"Cement Dangote","Abia","Rural","Obinto Ihechiowa",2012-12-01,1,18,1,0,5
"Cement Dangote","Abia","Rural","Ohambele",2010-06-01,3,15,1,0,5
"Cement Dangote","Abia","Rural","Ohambele",2010-12-01,2,16,1,0,5
"Cement Dangote","Abia","Rural","Ohambele",2011-06-01,1,17,1,0,6
"Cement Dangote","Abia","Rural","Ohambele",2011-12-01,1,19,1,0,6
"Cement Dangote","Abia","Rural","Ohambele",2012-06-01,1,19,1,0,6
"Cement Dangote","Abia","Rural","Ohambele",2012-12-01,1,19,1,0,6
"Cement Dangote","Abia","Rural","Ugba Junction",2010-06-01,3,16,1,0,6
"Cement Dangote","Abia","Rural","Ugba Junction",2010-12-01,2,17,1,0,6
"Cement Dangote","Abia","Rural","Ugba Junction",2011-06-01,1,18,1,0,7
"Cement Dangote","Abia","Rural","Ugba Junction",2011-12-01,1,20,1,0,7
"Cement Dangote","Abia","Rural","Ugba Junction",2012-06-01,1,20,1,0,7
"Cement Dangote","Abia","Rural","Ugba Junction",2012-12-01,1,20,1,0,7
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2010-06-01,3,17,1,0,7
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2010-12-01,2,18,1,0,7
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2011-06-01,1,19,1,0,8
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2011-12-01,1,21,1,0,8
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2012-06-01,1,21,1,0,8
"Cement Dangote","Abia","Rural","Umonpegh Nvosi",2012-12-01,1,21,1,0,8
"Cement Dangote","Abia","Urban","Umuahia",2009-12-01,3,1,0,1,0
"Cement Dangote","Abia","Urban","Umuahia",2010-06-01,2,5,1,0,2
"Cement Dangote","Abia","Urban","Umuahia",2010-12-01,3,4,1,0,2
"Cement Dangote","Abia","Urban","Umuahia",2011-06-01,2,3,1,0,1
"Cement Dangote","Abia","Urban","Umuahia",2011-12-01,1,22,1,0,9
"Cement Dangote","Abia","Urban","Umuahia",2012-06-01,1,22,1,0,9
"Cement Dangote","Abia","Urban","Umuahia",2012-12-01,1,22,1,0,9
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2010-06-01,3,18,1,0,8
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2010-12-01,2,19,1,0,8
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2011-06-01,1,20,1,0,9
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2011-12-01,1,23,1,0,10
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2012-06-01,1,23,1,0,10
"Cement Dangote","Abia","Rural","Umuho Ohokobe",2012-12-01,1,23,1,0,10
"Cement Dangote","Abia","Rural","Umuorie",2010-06-01,3,19,1,0,9
"Cement Dangote","Abia","Rural","Umuorie",2010-12-01,2,20,1,0,9
"Cement Dangote","Abia","Rural","Umuorie",2011-06-01,1,21,1,0,10
"Cement Dangote","Abia","Rural","Umuorie",2011-12-01,1,24,1,0,11
"Cement Dangote","Abia","Rural","Umuorie",2012-06-01,1,24,1,0,11
"Cement Dangote","Abia","Rural","Umuorie",2012-12-01,1,24,1,0,11
"Cement Dangote","Abia","Rural","Uturu",2009-12-01,4,1,0,1,0
"Cement Dangote","Abia","Rural","Uturu",2010-06-01,2,6,1,0,3
"Cement Dangote","Abia","Rural","Uturu",2010-12-01,2,21,1,0,10
"Cement Dangote","Abia","Rural","Uturu",2011-06-01,1,22,1,0,11
"Cement Dangote","Abia","Rural","Uturu",2011-12-01,1,25,1,0,12
"Cement Dangote","Abia","Rural","Uturu",2012-06-01,1,25,1,0,12
"Cement Dangote","Abia","Rural","Uturu",2012-12-01,1,25,1,0,12
"Cement Dangote","Akwa Ibom","Urban","Abak",2010-06-01,2,1,0,1,0
"Cement Dangote","Akwa Ibom","Urban","Abak",2010-12-01,4,1,0,1,0
"Cement Dangote","Akwa Ibom","Urban","Abak",2011-06-01,2,1,0,1,0
"Cement Dangote","Akwa Ibom","Urban","Abak",2011-12-01,2,1,0,1,0
"Cement Dangote","Akwa Ibom","Urban","Abak",2012-06-01,3,1,0,1,0
"Cement Dangote","Akwa Ibom","Urban","Abak",2012-12-01,3,1,0,1,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2010-06-01,4,1,0,1,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2010-12-01,4,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2011-06-01,4,1,0,1,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2011-12-01,1,1,0,1,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2012-06-01,3,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Afua mkt",2012-12-01,3,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2010-06-01,4,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2010-12-01,4,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2011-06-01,4,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2011-12-01,1,2,0,2,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2012-06-01,3,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Apostolic Church",2012-12-01,3,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2010-06-01,4,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2010-12-01,4,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2011-06-01,4,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2011-12-01,1,3,0,3,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2012-06-01,3,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Atabong",2012-12-01,3,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2010-06-01,4,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2010-12-01,4,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2011-06-01,4,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2011-12-01,1,4,0,4,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2012-06-01,3,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Chief Ekanem Umana",2012-12-01,3,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2010-06-01,4,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2010-12-01,4,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2011-06-01,4,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2011-12-01,1,5,0,5,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2012-06-01,3,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ebughu",2012-12-01,3,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2010-06-01,4,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2010-12-01,4,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2011-06-01,4,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2011-12-01,1,6,0,6,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2012-06-01,3,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Ediene Abak",2012-12-01,3,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2010-06-01,4,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2010-12-01,4,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2011-06-01,4,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2011-12-01,1,7,0,7,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2012-06-01,3,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Health Centre",2012-12-01,3,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2010-06-01,4,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2010-12-01,4,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2011-06-01,4,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2011-12-01,1,8,0,8,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2012-06-01,3,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibakang",2012-12-01,3,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2010-06-01,4,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2010-12-01,4,10,0,10,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2011-06-01,4,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2011-12-01,1,9,0,9,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2012-06-01,3,10,0,10,0
"Cement Dangote","Akwa Ibom","Rural","Ibiono Opposite",2012-12-01,3,10,0,10,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2010-06-01,2,2,0,2,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2010-12-01,4,11,0,11,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2011-06-01,2,2,0,2,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2011-12-01,2,2,0,2,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2012-06-01,3,11,0,11,0
"Cement Dangote","Akwa Ibom","Urban","Idua Assang",2012-12-01,3,11,0,11,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2010-06-01,4,10,0,10,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2010-12-01,4,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2011-06-01,4,10,0,10,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2011-12-01,1,10,0,10,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2012-06-01,3,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akara Ikot Ese",2012-12-01,3,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2010-06-01,4,11,0,11,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2010-12-01,4,13,0,13,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2011-06-01,4,11,0,11,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2011-12-01,1,11,0,11,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2012-06-01,3,13,0,13,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Akpa-Obio",2012-12-01,3,13,0,13,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2010-06-01,4,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2010-12-01,4,14,0,14,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2011-06-01,4,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2011-12-01,1,12,0,12,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2012-06-01,3,14,0,14,0
"Cement Dangote","Akwa Ibom","Rural","Ikot Imo",2012-12-01,3,14,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2010-06-01,4,13,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2010-12-01,4,15,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2011-06-01,4,13,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2011-12-01,1,13,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2012-06-01,3,15,1,0,1
"Cement Dangote","Akwa Ibom","Rural","Mboke Ekpene Ukim",2012-12-01,3,15,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2010-06-01,4,14,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2010-12-01,4,16,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2011-06-01,4,14,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2011-12-01,1,14,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2012-06-01,3,16,1,0,2
"Cement Dangote","Akwa Ibom","Rural","Mt Zion Church",2012-12-01,3,16,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2010-06-01,4,15,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2010-12-01,4,17,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2011-06-01,4,15,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2011-12-01,1,15,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2012-06-01,3,17,1,0,3
"Cement Dangote","Akwa Ibom","Rural","No 28 Iboko Street",2012-12-01,3,17,1,0,4
"Cement Dangote","Akwa Ibom","Urban","Oron",2010-06-01,2,3,1,0,1
"Cement Dangote","Akwa Ibom","Urban","Oron",2010-12-01,4,18,1,0,4
"Cement Dangote","Akwa Ibom","Urban","Oron",2011-06-01,2,3,1,0,1
"Cement Dangote","Akwa Ibom","Urban","Oron",2011-12-01,2,3,1,0,1
"Cement Dangote","Akwa Ibom","Urban","Oron",2012-06-01,3,18,1,0,4
"Cement Dangote","Akwa Ibom","Urban","Oron",2012-12-01,3,18,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Primary School",2010-06-01,4,16,1,0,4
"Cement Dangote","Akwa Ibom","Rural","Primary School",2010-12-01,4,19,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Primary School",2011-06-01,4,16,1,0,4
"Cement Dangote","Akwa Ibom","Rural","Primary School",2011-12-01,1,16,1,0,4
"Cement Dangote","Akwa Ibom","Rural","Primary School",2012-06-01,3,19,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Primary School",2012-12-01,4,1,0,1,0
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2010-06-01,4,17,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2010-12-01,4,20,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2011-06-01,4,17,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2011-12-01,1,17,1,0,5
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2012-06-01,3,20,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Salvation Army Church",2012-12-01,3,19,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2010-06-01,4,18,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2010-12-01,4,21,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2011-06-01,4,18,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2011-12-01,1,18,1,0,6
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2012-06-01,3,21,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Timber mkt",2012-12-01,3,20,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2010-06-01,4,19,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2010-12-01,4,22,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2011-06-01,4,19,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2011-12-01,1,19,1,0,7
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2012-06-01,3,22,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Ukpabik Akpan",2012-12-01,3,21,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2010-06-01,4,20,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2010-12-01,4,23,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2011-06-01,4,20,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2011-12-01,1,20,1,0,8
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2012-06-01,3,23,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Affiong mkt",2012-12-01,3,22,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2010-06-01,4,21,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2010-12-01,4,24,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2011-06-01,4,21,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2011-12-01,1,21,1,0,9
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2012-06-01,3,24,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva Itah",2012-12-01,3,23,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2010-06-01,4,22,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2010-12-01,4,25,1,0,11
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2011-06-01,4,22,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2011-12-01,1,22,1,0,10
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2012-06-01,3,25,1,0,11
"Cement Dangote","Akwa Ibom","Rural","Urva oto mkt",2012-12-01,3,24,1,0,11
"Cement Dangote","Akwa Ibom","Urban","Uyo",2010-06-01,2,4,1,0,2
"Cement Dangote","Akwa Ibom","Urban","Uyo",2010-12-01,4,26,1,0,12
"Cement Dangote","Akwa Ibom","Urban","Uyo",2011-06-01,2,4,1,0,2
"Cement Dangote","Akwa Ibom","Urban","Uyo",2011-12-01,2,4,1,0,2
