"item","state","centre","zoneCode","date","volMoving","xPosition"
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2010-06-01,34.34,10
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2010-12-01,23.5,18
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2011-06-01,10.15,26
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2011-12-01,10.91,34
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2012-06-01,8.13,42
"Drink Swan Water Bottle","Delta","48, Arakpa Rd",2,2012-12-01,10.32,50
"Maize White","Delta","48, Arakpa Rd",2,2010-06-01,52.63,10
"Maize White","Delta","48, Arakpa Rd",2,2010-12-01,37.57,18
"Maize White","Delta","48, Arakpa Rd",2,2011-06-01,13.26,26
"Maize White","Delta","48, Arakpa Rd",2,2011-12-01,25.11,34
"Maize White","Delta","48, Arakpa Rd",2,2012-06-01,44.91,42
"Maize White","Delta","48, Arakpa Rd",2,2012-12-01,54.73,50
"Maize Yellow","Delta","48, Arakpa Rd",2,2010-06-01,52.46,10
"Maize Yellow","Delta","48, Arakpa Rd",2,2010-12-01,38.56,18
"Maize Yellow","Delta","48, Arakpa Rd",2,2011-06-01,15.12,26
"Maize Yellow","Delta","48, Arakpa Rd",2,2011-12-01,24.45,34
"Maize Yellow","Delta","48, Arakpa Rd",2,2012-06-01,34.63,42
"Maize Yellow","Delta","48, Arakpa Rd",2,2012-12-01,78.37,50
"Rice Imported","Delta","48, Arakpa Rd",2,2010-06-01,11.26,10
"Rice Imported","Delta","48, Arakpa Rd",2,2010-12-01,16.59,18
"Rice Imported","Delta","48, Arakpa Rd",2,2011-06-01,27.16,26
"Rice Imported","Delta","48, Arakpa Rd",2,2011-12-01,21.94,34
"Rice Imported","Delta","48, Arakpa Rd",2,2012-06-01,8.39,42
"Rice Imported","Delta","48, Arakpa Rd",2,2012-12-01,13.38,50
"Rice Local","Delta","48, Arakpa Rd",2,2010-06-01,69.19,10
"Rice Local","Delta","48, Arakpa Rd",2,2010-12-01,87.44,18
"Rice Local","Delta","48, Arakpa Rd",2,2011-06-01,73.53,26
"Rice Local","Delta","48, Arakpa Rd",2,2011-12-01,18.33,34
"Rice Local","Delta","48, Arakpa Rd",2,2012-06-01,8.91,42
"Rice Local","Delta","48, Arakpa Rd",2,2012-12-01,12.85,50
"Sorghum","Delta","48, Arakpa Rd",2,2010-06-01,50.06,10
"Sorghum","Delta","48, Arakpa Rd",2,2010-12-01,33.99,18
"Sorghum","Delta","48, Arakpa Rd",2,2011-06-01,12.63,26
"Sorghum","Delta","48, Arakpa Rd",2,2011-12-01,13,34
"Sorghum","Delta","48, Arakpa Rd",2,2012-06-01,26.07,42
"Sorghum","Delta","48, Arakpa Rd",2,2012-12-01,25.3,50
"Cement Dangote","Abia","51 Umuechem Road",3,2010-06-01,4.47,11
"Cement Dangote","Abia","51 Umuechem Road",3,2010-12-01,4.39,19
"Cement Dangote","Abia","51 Umuechem Road",3,2011-06-01,7.23,27
"Cement Dangote","Abia","51 Umuechem Road",3,2011-12-01,7.19,35
"Cement Dangote","Abia","51 Umuechem Road",3,2012-06-01,4.69,43
"Cement Dangote","Abia","51 Umuechem Road",3,2012-12-01,4.83,51
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2010-06-01,8.49,11
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2010-12-01,8.63,19
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2011-06-01,14.65,27
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2011-12-01,14.3,35
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2012-06-01,16.28,43
"Drink Swan Water Bottle","Abia","51 Umuechem Road",3,2012-12-01,15.54,51
"Maize White","Abia","51 Umuechem Road",3,2010-06-01,35.84,11
"Maize White","Abia","51 Umuechem Road",3,2010-12-01,32.03,19
"Maize White","Abia","51 Umuechem Road",3,2011-06-01,26.64,27
"Maize White","Abia","51 Umuechem Road",3,2011-12-01,25.16,35
"Maize White","Abia","51 Umuechem Road",3,2012-06-01,24.74,43
"Maize White","Abia","51 Umuechem Road",3,2012-12-01,22.66,51
"Maize Yellow","Abia","51 Umuechem Road",3,2010-06-01,25.87,11
"Maize Yellow","Abia","51 Umuechem Road",3,2010-12-01,52.14,19
"Maize Yellow","Abia","51 Umuechem Road",3,2011-06-01,55.44,27
"Maize Yellow","Abia","51 Umuechem Road",3,2011-12-01,36.64,35
"Maize Yellow","Abia","51 Umuechem Road",3,2012-06-01,28.45,43
"Maize Yellow","Abia","51 Umuechem Road",3,2012-12-01,30.34,51
"Rice Imported","Abia","51 Umuechem Road",3,2010-06-01,2.83,11
"Rice Imported","Abia","51 Umuechem Road",3,2010-12-01,28.66,19
"Rice Imported","Abia","51 Umuechem Road",3,2011-06-01,34.39,27
"Rice Imported","Abia","51 Umuechem Road",3,2011-12-01,23.65,35
"Rice Imported","Abia","51 Umuechem Road",3,2012-06-01,24.71,43
"Rice Imported","Abia","51 Umuechem Road",3,2012-12-01,22.41,51
"Rice Local","Abia","51 Umuechem Road",3,2010-06-01,20.68,11
"Rice Local","Abia","51 Umuechem Road",3,2010-12-01,33.32,19
"Rice Local","Abia","51 Umuechem Road",3,2011-06-01,29.49,27
"Rice Local","Abia","51 Umuechem Road",3,2011-12-01,13.26,35
"Rice Local","Abia","51 Umuechem Road",3,2012-06-01,14.53,43
"Rice Local","Abia","51 Umuechem Road",3,2012-12-01,13.59,51
"Sorghum","Abia","51 Umuechem Road",3,2011-06-01,27.88,27
"Sorghum","Abia","51 Umuechem Road",3,2011-12-01,31.73,35
"Sorghum","Abia","51 Umuechem Road",3,2012-06-01,26.75,43
"Sorghum","Abia","51 Umuechem Road",3,2012-12-01,17.01,51
"Cement Dangote","Plateau","A.Benson",5,2009-12-01,1.82,5
"Cement Dangote","Plateau","A.Benson",5,2010-06-01,3.54,13
"Cement Dangote","Plateau","A.Benson",5,2010-12-01,3.21,21
"Cement Dangote","Plateau","A.Benson",5,2011-06-01,48.78,29
"Cement Dangote","Plateau","A.Benson",5,2011-12-01,49.01,37
"Cement Dangote","Plateau","A.Benson",5,2012-06-01,28.51,45
"Cement Dangote","Plateau","A.Benson",5,2012-12-01,26.86,53
"Drink Swan Water Bottle","Plateau","A.Benson",5,2009-12-01,15.28,5
"Drink Swan Water Bottle","Plateau","A.Benson",5,2010-06-01,16.79,13
"Drink Swan Water Bottle","Plateau","A.Benson",5,2010-12-01,12.79,21
"Drink Swan Water Bottle","Plateau","A.Benson",5,2011-06-01,7.53,29
"Drink Swan Water Bottle","Plateau","A.Benson",5,2011-12-01,9.86,37
"Drink Swan Water Bottle","Plateau","A.Benson",5,2012-06-01,13.04,45
"Drink Swan Water Bottle","Plateau","A.Benson",5,2012-12-01,10.02,53
"Maize White","Plateau","A.Benson",5,2009-12-01,14.67,5
"Maize White","Plateau","A.Benson",5,2010-06-01,40.91,13
"Maize White","Plateau","A.Benson",5,2010-12-01,37.8,21
"Maize White","Plateau","A.Benson",5,2011-06-01,30.36,29
"Maize White","Plateau","A.Benson",5,2011-12-01,29.74,37
"Maize White","Plateau","A.Benson",5,2012-06-01,18.7,45
"Maize White","Plateau","A.Benson",5,2012-12-01,18.33,53
"Maize Yellow","Plateau","A.Benson",5,2009-12-01,14.3,5
"Maize Yellow","Plateau","A.Benson",5,2010-06-01,12.54,13
"Maize Yellow","Plateau","A.Benson",5,2010-12-01,8.59,21
"Maize Yellow","Plateau","A.Benson",5,2011-06-01,17.48,29
"Maize Yellow","Plateau","A.Benson",5,2011-12-01,33.46,37
"Maize Yellow","Plateau","A.Benson",5,2012-06-01,33.28,45
"Maize Yellow","Plateau","A.Benson",5,2012-12-01,28.5,53
"Rice Imported","Plateau","A.Benson",5,2009-12-01,7.84,5
"Rice Imported","Plateau","A.Benson",5,2010-06-01,3.84,13
"Rice Imported","Plateau","A.Benson",5,2010-12-01,4.11,21
"Rice Imported","Plateau","A.Benson",5,2011-06-01,12.69,29
"Rice Imported","Plateau","A.Benson",5,2011-12-01,40.49,37
"Rice Imported","Plateau","A.Benson",5,2012-06-01,39.3,45
"Rice Imported","Plateau","A.Benson",5,2012-12-01,12.39,53
"Rice Local","Plateau","A.Benson",5,2009-12-01,15.8,5
"Rice Local","Plateau","A.Benson",5,2010-06-01,4.46,13
"Rice Local","Plateau","A.Benson",5,2010-12-01,6.49,21
"Rice Local","Plateau","A.Benson",5,2011-06-01,9.74,29
"Rice Local","Plateau","A.Benson",5,2011-12-01,9.32,37
"Rice Local","Plateau","A.Benson",5,2012-06-01,6.26,45
"Rice Local","Plateau","A.Benson",5,2012-12-01,5.14,53
"Sorghum","Plateau","A.Benson",5,2009-12-01,18.63,5
"Sorghum","Plateau","A.Benson",5,2010-06-01,5.35,13
"Sorghum","Plateau","A.Benson",5,2010-12-01,5.44,21
"Sorghum","Plateau","A.Benson",5,2011-06-01,9.16,29
"Sorghum","Plateau","A.Benson",5,2011-12-01,9.18,37
"Sorghum","Plateau","A.Benson",5,2012-06-01,9.93,45
"Sorghum","Plateau","A.Benson",5,2012-12-01,10.46,53
"Cement Dangote","Abia","ACC Mission",3,2010-06-01,4,11
"Cement Dangote","Abia","ACC Mission",3,2010-12-01,4.19,19
"Maize White","Abia","ACC Mission",3,2010-06-01,39.66,11
"Maize White","Abia","ACC Mission",3,2010-12-01,33.03,19
"Maize Yellow","Abia","ACC Mission",3,2010-06-01,37.17,11
"Maize Yellow","Abia","ACC Mission",3,2010-12-01,52.06,19
"Cement Dangote","Nasarawa","ANG Ayaba",5,2010-06-01,3.45,13
"Cement Dangote","Nasarawa","ANG Ayaba",5,2010-12-01,4.89,21
"Cement Dangote","Nasarawa","ANG Ayaba",5,2011-06-01,8.01,29
"Cement Dangote","Nasarawa","ANG Ayaba",5,2011-12-01,7.99,37
"Cement Dangote","Nasarawa","ANG Ayaba",5,2012-06-01,23.1,45
"Cement Dangote","Nasarawa","ANG Ayaba",5,2012-12-01,24.37,53
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2010-06-01,5.84,13
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2010-12-01,5.94,21
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2011-06-01,9.06,29
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2011-12-01,10.39,37
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2012-06-01,13.9,45
"Drink Swan Water Bottle","Nasarawa","ANG Ayaba",5,2012-12-01,21.92,53
"Maize White","Nasarawa","ANG Ayaba",5,2010-06-01,10.14,13
"Maize White","Nasarawa","ANG Ayaba",5,2010-12-01,10.95,21
"Maize White","Nasarawa","ANG Ayaba",5,2011-06-01,9.5,29
"Maize White","Nasarawa","ANG Ayaba",5,2011-12-01,7.17,37
"Maize White","Nasarawa","ANG Ayaba",5,2012-06-01,17.12,45
"Maize White","Nasarawa","ANG Ayaba",5,2012-12-01,21.84,53
"Maize Yellow","Nasarawa","ANG Ayaba",5,2010-06-01,4.36,13
"Maize Yellow","Nasarawa","ANG Ayaba",5,2010-12-01,3.64,21
"Maize Yellow","Nasarawa","ANG Ayaba",5,2011-06-01,9.28,29
"Maize Yellow","Nasarawa","ANG Ayaba",5,2011-12-01,9.6,37
"Maize Yellow","Nasarawa","ANG Ayaba",5,2012-06-01,13.62,45
"Maize Yellow","Nasarawa","ANG Ayaba",5,2012-12-01,14.33,53
"Rice Imported","Nasarawa","ANG Ayaba",5,2010-06-01,11.1,13
"Rice Imported","Nasarawa","ANG Ayaba",5,2010-12-01,8.08,21
"Rice Imported","Nasarawa","ANG Ayaba",5,2011-06-01,8.32,29
"Rice Imported","Nasarawa","ANG Ayaba",5,2011-12-01,11.01,37
"Rice Imported","Nasarawa","ANG Ayaba",5,2012-06-01,10.42,45
"Rice Imported","Nasarawa","ANG Ayaba",5,2012-12-01,11.19,53
"Rice Local","Nasarawa","ANG Ayaba",5,2010-06-01,4.16,13
"Rice Local","Nasarawa","ANG Ayaba",5,2010-12-01,4.46,21
"Rice Local","Nasarawa","ANG Ayaba",5,2011-06-01,11.56,29
"Rice Local","Nasarawa","ANG Ayaba",5,2011-12-01,14.08,37
"Rice Local","Nasarawa","ANG Ayaba",5,2012-06-01,14.58,45
"Rice Local","Nasarawa","ANG Ayaba",5,2012-12-01,19.31,53
"Sorghum","Nasarawa","ANG Ayaba",5,2010-06-01,5.38,13
"Sorghum","Nasarawa","ANG Ayaba",5,2010-12-01,4.33,21
"Sorghum","Nasarawa","ANG Ayaba",5,2011-06-01,15.22,29
"Sorghum","Nasarawa","ANG Ayaba",5,2011-12-01,16.77,37
"Sorghum","Nasarawa","ANG Ayaba",5,2012-06-01,21.56,45
"Sorghum","Nasarawa","ANG Ayaba",5,2012-12-01,20.97,53
"Cement Dangote","Nasarawa","ANG Chiroma",5,2010-06-01,3.62,13
"Cement Dangote","Nasarawa","ANG Chiroma",5,2010-12-01,5.08,21
"Cement Dangote","Plateau","ATMN Kantom",5,2010-06-01,4.15,13
"Cement Dangote","Plateau","ATMN Kantom",5,2010-12-01,3.05,21
"Drink Swan Water Bottle","Plateau","ATMN Kantom",5,2009-12-01,48.49,5
"Drink Swan Water Bottle","Plateau","ATMN Kantom",5,2010-06-01,6.99,13
"Drink Swan Water Bottle","Plateau","ATMN Kantom",5,2010-12-01,8.32,21
"Maize White","Plateau","ATMN Kantom",5,2009-12-01,24.64,5
"Maize White","Plateau","ATMN Kantom",5,2010-06-01,43.86,13
"Maize White","Plateau","ATMN Kantom",5,2010-12-01,37.64,21
"Maize Yellow","Plateau","ATMN Kantom",5,2009-12-01,17.51,5
"Maize Yellow","Plateau","ATMN Kantom",5,2010-06-01,14.38,13
"Maize Yellow","Plateau","ATMN Kantom",5,2010-12-01,8,21
"Rice Imported","Plateau","ATMN Kantom",5,2009-12-01,3.39,5
"Rice Imported","Plateau","ATMN Kantom",5,2010-06-01,3.84,13
"Rice Imported","Plateau","ATMN Kantom",5,2010-12-01,4.11,21
"Rice Local","Plateau","ATMN Kantom",5,2009-12-01,9.23,5
"Rice Local","Plateau","ATMN Kantom",5,2010-06-01,4.33,13
"Rice Local","Plateau","ATMN Kantom",5,2010-12-01,6.48,21
"Sorghum","Plateau","ATMN Kantom",5,2009-12-01,10.03,5
"Sorghum","Plateau","ATMN Kantom",5,2010-06-01,10.14,13
"Sorghum","Plateau","ATMN Kantom",5,2010-12-01,7.35,21
"Cement Dangote","Ondo","AUD Pry School",1,2010-06-01,2.52,9
"Cement Dangote","Ondo","AUD Pry School",1,2010-12-01,2.24,17
"Cement Dangote","Ondo","AUD Pry School",1,2011-06-01,14.33,25
"Cement Dangote","Ondo","AUD Pry School",1,2011-12-01,14.72,33
"Cement Dangote","Ondo","AUD Pry School",1,2012-06-01,43.72,41
"Cement Dangote","Ondo","AUD Pry School",1,2012-12-01,43.39,49
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2010-06-01,24.87,9
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2010-12-01,17.59,17
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2011-06-01,12.4,25
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2011-12-01,12.69,33
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2012-06-01,11.09,41
"Drink Swan Water Bottle","Ondo","AUD Pry School",1,2012-12-01,10.43,49
"Maize White","Ondo","AUD Pry School",1,2010-06-01,4.09,9
"Maize White","Ondo","AUD Pry School",1,2010-12-01,23.4,17
"Maize White","Ondo","AUD Pry School",1,2011-06-01,23.83,25
"Maize White","Ondo","AUD Pry School",1,2011-12-01,10.89,33
"Maize White","Ondo","AUD Pry School",1,2012-06-01,9.74,41
"Maize White","Ondo","AUD Pry School",1,2012-12-01,19.1,49
"Maize Yellow","Ondo","AUD Pry School",1,2010-06-01,6.16,9
"Maize Yellow","Ondo","AUD Pry School",1,2010-12-01,18.37,17
"Maize Yellow","Ondo","AUD Pry School",1,2011-06-01,18.63,25
"Maize Yellow","Ondo","AUD Pry School",1,2011-12-01,10.46,33
"Maize Yellow","Ondo","AUD Pry School",1,2012-06-01,9.59,41
"Maize Yellow","Ondo","AUD Pry School",1,2012-12-01,19.31,49
"Rice Imported","Ondo","AUD Pry School",1,2010-06-01,57.77,9
"Rice Imported","Ondo","AUD Pry School",1,2010-12-01,36.63,17
"Rice Imported","Ondo","AUD Pry School",1,2011-06-01,3.71,25
"Rice Imported","Ondo","AUD Pry School",1,2011-12-01,8.26,33
"Rice Imported","Ondo","AUD Pry School",1,2012-06-01,10.43,41
"Rice Imported","Ondo","AUD Pry School",1,2012-12-01,21.16,49
"Rice Local","Ondo","AUD Pry School",1,2010-06-01,17.86,9
"Rice Local","Ondo","AUD Pry School",1,2010-12-01,20,17
"Rice Local","Ondo","AUD Pry School",1,2011-06-01,17.72,25
"Rice Local","Ondo","AUD Pry School",1,2011-12-01,33.36,33
"Rice Local","Ondo","AUD Pry School",1,2012-06-01,31.6,41
"Rice Local","Ondo","AUD Pry School",1,2012-12-01,25.02,49
"Sorghum","Ondo","AUD Pry School",1,2010-06-01,7.38,9
"Sorghum","Ondo","AUD Pry School",1,2010-12-01,10.14,17
"Sorghum","Ondo","AUD Pry School",1,2011-06-01,13.46,25
"Sorghum","Ondo","AUD Pry School",1,2011-12-01,10.04,33
"Sorghum","Ondo","AUD Pry School",1,2012-06-01,6.56,41
"Sorghum","Ondo","AUD Pry School",1,2012-12-01,18.43,49
"Cement Dangote","Abia","Aba",3,2009-12-01,8.2,3
"Cement Dangote","Abia","Aba",3,2010-06-01,3.37,11
"Cement Dangote","Abia","Aba",3,2010-12-01,6.48,19
"Cement Dangote","Abia","Aba",3,2011-06-01,9.06,27
"Cement Dangote","Abia","Aba",3,2011-12-01,7.67,35
"Cement Dangote","Abia","Aba",3,2012-12-01,4.71,51
"Drink Swan Water Bottle","Abia","Aba",3,2009-12-01,22.92,3
"Drink Swan Water Bottle","Abia","Aba",3,2010-06-01,5.57,11
"Drink Swan Water Bottle","Abia","Aba",3,2010-12-01,12.57,19
"Drink Swan Water Bottle","Abia","Aba",3,2011-06-01,17.71,27
"Drink Swan Water Bottle","Abia","Aba",3,2011-12-01,14.91,35
"Drink Swan Water Bottle","Abia","Aba",3,2012-12-01,15.4,51
"Maize White","Abia","Aba",3,2009-12-01,22.31,3
"Maize White","Abia","Aba",3,2010-06-01,17.15,11
"Maize White","Abia","Aba",3,2010-12-01,36.14,19
"Maize White","Abia","Aba",3,2011-06-01,38.52,27
"Maize White","Abia","Aba",3,2011-12-01,25.32,35
"Maize White","Abia","Aba",3,2012-12-01,23.22,51
"Maize Yellow","Abia","Aba",3,2009-12-01,20.37,3
"Maize Yellow","Abia","Aba",3,2010-06-01,22.57,11
"Maize Yellow","Abia","Aba",3,2010-12-01,37.04,19
"Maize Yellow","Abia","Aba",3,2011-06-01,47.54,27
"Maize Yellow","Abia","Aba",3,2011-12-01,37.39,35
"Maize Yellow","Abia","Aba",3,2012-06-01,24.72,43
"Maize Yellow","Abia","Aba",3,2012-12-01,27.32,51
"Rice Imported","Abia","Aba",3,2009-12-01,8.14,3
"Rice Imported","Abia","Aba",3,2010-06-01,9.2,11
"Rice Imported","Abia","Aba",3,2010-12-01,26.42,19
"Rice Imported","Abia","Aba",3,2011-06-01,31.86,27
"Rice Imported","Abia","Aba",3,2011-12-01,21.38,35
"Rice Imported","Abia","Aba",3,2012-06-01,8.46,43
"Rice Imported","Abia","Aba",3,2012-12-01,16.83,51
"Rice Local","Abia","Aba",3,2009-12-01,8.75,3
"Rice Local","Abia","Aba",3,2010-06-01,10.26,11
"Rice Local","Abia","Aba",3,2010-12-01,26.72,19
"Rice Local","Abia","Aba",3,2011-06-01,28.23,27
"Rice Local","Abia","Aba",3,2011-12-01,15.16,35
"Rice Local","Abia","Aba",3,2012-12-01,13.16,51
"Sorghum","Abia","Aba",3,2009-12-01,11.52,3
"Sorghum","Abia","Aba",3,2010-06-01,12.72,11
"Sorghum","Abia","Aba",3,2010-12-01,17.25,19
"Sorghum","Abia","Aba",3,2011-06-01,25.14,27
"Sorghum","Abia","Aba",3,2011-12-01,33.46,35
"Sorghum","Abia","Aba",3,2012-12-01,17,51
"Cement Dangote","Oyo","Aba Adebomi",1,2010-06-01,1.25,9
"Cement Dangote","Oyo","Aba Adebomi",1,2010-12-01,1.14,17
"Cement Dangote","Oyo","Aba Adebomi",1,2011-06-01,9.65,25
"Cement Dangote","Oyo","Aba Adebomi",1,2011-12-01,13.67,33
"Cement Dangote","Oyo","Aba Adebomi",1,2012-06-01,10.95,41
"Cement Dangote","Oyo","Aba Adebomi",1,2012-12-01,9.28,49
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2010-06-01,24.79,9
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2010-12-01,26,17
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2011-06-01,35.65,25
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2011-12-01,35.74,33
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2012-06-01,23.68,41
"Drink Swan Water Bottle","Oyo","Aba Adebomi",1,2012-12-01,18.73,49
"Maize White","Oyo","Aba Adebomi",1,2010-06-01,7.8,9
"Maize White","Oyo","Aba Adebomi",1,2010-12-01,49.06,17
"Maize White","Oyo","Aba Adebomi",1,2011-06-01,48.15,25
"Maize White","Oyo","Aba Adebomi",1,2011-12-01,15.36,33
"Maize White","Oyo","Aba Adebomi",1,2012-06-01,15.71,41
"Maize White","Oyo","Aba Adebomi",1,2012-12-01,19.82,49
"Maize Yellow","Oyo","Aba Adebomi",1,2010-06-01,4.48,9
"Maize Yellow","Oyo","Aba Adebomi",1,2010-12-01,11.38,17
"Maize Yellow","Oyo","Aba Adebomi",1,2011-06-01,14.9,25
"Maize Yellow","Oyo","Aba Adebomi",1,2011-12-01,13.03,33
"Maize Yellow","Oyo","Aba Adebomi",1,2012-06-01,11.48,41
"Maize Yellow","Oyo","Aba Adebomi",1,2012-12-01,17.55,49
"Rice Imported","Oyo","Aba Adebomi",1,2010-06-01,8.17,9
"Rice Imported","Oyo","Aba Adebomi",1,2010-12-01,9.24,17
"Rice Imported","Oyo","Aba Adebomi",1,2011-06-01,8.86,25
"Rice Imported","Oyo","Aba Adebomi",1,2011-12-01,14.44,33
"Rice Imported","Oyo","Aba Adebomi",1,2012-06-01,15.78,41
"Rice Imported","Oyo","Aba Adebomi",1,2012-12-01,20.83,49
"Rice Local","Oyo","Aba Adebomi",1,2010-06-01,56.59,9
"Rice Local","Oyo","Aba Adebomi",1,2010-12-01,36.65,17
"Rice Local","Oyo","Aba Adebomi",1,2011-06-01,8.27,25
"Rice Local","Oyo","Aba Adebomi",1,2011-12-01,8.87,33
"Rice Local","Oyo","Aba Adebomi",1,2012-06-01,8.72,41
"Rice Local","Oyo","Aba Adebomi",1,2012-12-01,24.2,49
"Sorghum","Oyo","Aba Adebomi",1,2010-06-01,5.66,9
"Sorghum","Oyo","Aba Adebomi",1,2010-12-01,15.01,17
"Sorghum","Oyo","Aba Adebomi",1,2011-06-01,16.49,25
"Sorghum","Oyo","Aba Adebomi",1,2011-12-01,12.2,33
"Sorghum","Oyo","Aba Adebomi",1,2012-06-01,11.04,41
"Sorghum","Oyo","Aba Adebomi",1,2012-12-01,22.8,49
"Cement Dangote","Osun","Aba Alfa",1,2010-06-01,0.48,9
"Cement Dangote","Osun","Aba Alfa",1,2010-12-01,2.41,17
"Cement Dangote","Osun","Aba Alfa",1,2011-06-01,7.58,25
"Cement Dangote","Osun","Aba Alfa",1,2011-12-01,8.79,33
"Cement Dangote","Osun","Aba Alfa",1,2012-06-01,43.98,41
"Cement Dangote","Osun","Aba Alfa",1,2012-12-01,43.8,49
"Drink Swan Water Bottle","Osun","Aba Alfa",1,2010-06-01,55.47,9
"Drink Swan Water Bottle","Osun","Aba Alfa",1,2010-12-01,37.65,17
"Drink Swan Water Bottle","Osun","Aba Alfa",1,2011-06-01,23.68,25
"Drink Swan Water Bottle","Osun","Aba Alfa",1,2011-12-01,26.93,33
